ds,y,Open,High,Low,Volume,Chg%
2022-06-09,50354,50610,50774,50323,8520,-0.49
2022-06-10,51711,51500,51799,51500,12580,0.68
2022-06-12,53446,53500,53598,53256,6840,0.27
2022-07-01,47481,47501,47570,47300,12490,-0.04
2022-07-02,48168,47950,48181,47925,7880,0.18
2022-07-03,53461,52558,53938,52558,32759,2.27
2022-07-04,51681,51450,51760,51398,9940,0.48
2022-07-06,50929,50822,51030,50680,9200,0.11
2022-07-07,50691,50741,50909,50607,9490,0.22
2022-07-09,50570,50310,50596,50068,10290,0.43
2022-07-10,51716,51678,51872,51421,14320,0.01
2022-07-11,50901,50717,51029,50717,9680,0.57
2022-07-12,53665,53444,53715,53401,6290,0.41
2022-08-02,48345,48185,48394,48106,7950,0.37
2022-08-03,54146,53467,55428,53340,51930,1.28
2022-08-04,51854,51622,51969,51515,12000,0.33
2022-08-06,51036,50865,51103,50835,7540,0.21
2022-08-07,50832,50710,51030,50411,12500,0.28
2022-08-08,52183,51902,52231,51734,8690,1.05
2022-08-09,50429,50546,50825,50281,11950,-0.28
2022-08-11,51581,50752,51648,50615,15490,1.34
2022-08-12,53741,53646,53866,53614,5370,0.14
2022-09-02,48575,48396,48600,48327,9230,0.48
2022-09-03,52724,54663,55000,52589,48040,-2.63
2022-09-05,51026,51395,51416,50975,12930,-0.69
2022-09-06,50971,51047,51095,50805,8080,-0.13
2022-09-08,52383,52274,52479,52184,4660,0.38
2022-09-09,50592,50545,50783,50435,11780,0.32
2022-09-11,51474,51568,51680,51315,11720,-0.21
2022-09-12,53950,53860,54085,53704,8680,0.39
2022-10-01,47471,47400,47523,47333,11650,-0.02
2022-10-02,48867,48550,48936,48400,10510,0.6
2022-10-03,53183,52680,53439,52410,33010,0.87
2022-10-05,50662,51052,51150,50584,13110,-0.71
2022-10-06,51645,50893,51725,50460,23680,1.32
2022-10-08,52184,52350,52485,52105,10090,-0.38
2022-10-10,50871,51453,51453,50763,15000,-1.63
2022-10-11,52033,51469,52139,51469,15540,1.09
2022-11-01,47694,47550,47712,47492,9950,0.47
2022-11-02,49024,48694,49048,48560,9900,0.32
2022-11-03,52828,53001,53148,52227,34030,-0.67
2022-11-04,51985,51999,52521,51840,15750,0.25
2022-11-05,50862,50575,50920,50365,14930,0.39
2022-11-07,50709,50790,50916,50675,7130,-0.24
2022-11-08,52246,52065,52400,51903,9130,0.12
2022-11-10,50874,50800,50980,50548,11160,0.01
2022-11-11,52275,52033,52451,52002,13180,0.47
2022-12-01,47802,47650,47848,47643,9530,0.23
2022-12-04,52656,52100,52764,52100,15370,1.29
2022-12-05,50249,50877,51057,50200,14270,-1.21
2022-12-07,50532,50755,50825,50512,10230,-0.35
2022-12-08,52456,52280,52480,52195,7620,0.4
2022-12-09,50696,50553,50844,50453,12830,0.21
2022-12-10,50713,50563,50805,50550,7650,-0.32
2022-12-12,53791,53802,53957,53721,5810,-0.29
2023-01-02,57599,56879,58100,56800,640,1.29
2023-01-03,56047,55990,56144,55799,110,0.6
2023-01-05,59979,60170,60449,59900,1490,-0.13
2023-01-06,60033,60100,60718,59696,350,-0.36
2023-01-08,59048,59528,59528,59029,780,-0.97
2023-01-09,59106,59082,59507,59051,400,-0.01
2023-01-11,60757,60729,61478,60621,200,-0.2
